,war,타수,득점,안타,2루타,3루타,홈런,타점,도루성공,도루실패,4구,사구,고의4구,삼진,병살타,희생타,희생플라이,타율,출루율,장타율,R/ePA,wRC+,rangeRAA,종합 RAA,WAAwoPOS
7006,0.24,66.0,10.0,13.0,2.0,0.0,1.0,7.0,1.0,3.0,11.0,1.0,0.0,24.0,1.0,1.0,1.0,0.197,0.316,0.273,-0.08,47.4,-0.07,-0.26,-0.022
7007,0.24,154.0,24.0,41.0,6.0,0.0,8.0,33.0,0.0,0.0,31.0,2.0,0.0,17.0,9.0,0.0,3.0,0.266,0.389,0.461,0.019,116.9,-7.78,-7.58,-0.655
7008,0.22,56.0,13.0,13.0,2.0,0.0,0.0,3.0,3.0,3.0,8.0,0.0,0.0,18.0,0.0,1.0,1.0,0.232,0.323,0.268,-0.055,65.0,0.0,0.04,0.004
7009,0.22,8.0,3.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.375,0.444,0.625,0.102,176.3,0.0132753722018522,0.0,0.0
7010,0.2,24.0,5.0,11.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.458,0.458,0.625,0.089,164.2,-1.42,-1.64,-0.141
7011,0.19,195.0,24.0,55.0,5.0,1.0,1.0,17.0,3.0,2.0,10.0,2.0,1.0,25.0,4.0,3.0,1.0,0.282,0.322,0.333,-0.06,61.4,6.1,6.02,0.52
7012,0.18,69.0,9.0,18.0,7.0,0.0,3.0,11.0,1.0,0.0,10.0,3.0,0.0,25.0,1.0,0.0,0.0,0.261,0.378,0.493,0.008,109.5,-3.43,-2.96,-0.255
7014,0.14,56.0,6.0,14.0,1.0,0.0,0.0,4.0,1.0,2.0,7.0,0.0,0.0,10.0,3.0,0.0,0.0,0.25,0.333,0.268,-0.065,57.1,2.82,4.0,0.345
7015,0.13,43.0,6.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,8.0,0.0,3.0,0.0,0.163,0.28,0.163,-0.134,13.1,3.15,3.08,0.266
7016,0.13,13.0,9.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.154,0.154,0.154,-0.225,-57.0,2.86,2.07,0.179
7017,0.12,158.0,30.0,44.0,8.0,0.0,8.0,24.0,0.0,4.0,15.0,5.0,0.0,54.0,3.0,6.0,0.0,0.278,0.36,0.481,0.006,107.6,-5.17,-6.42,-0.554
7018,0.11,236.0,36.0,57.0,9.0,1.0,3.0,17.0,17.0,1.0,8.0,0.0,0.0,40.0,5.0,5.0,2.0,0.242,0.264,0.326,-0.093,38.7,-3.53,-2.54,-0.22
7019,0.11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.5,0.333,0.049,138.8,-0.05,-0.05,-0.004
7020,0.1,39.0,7.0,7.0,3.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.179,0.179,0.256,-0.183,-27.2,3.67,4.52,0.39
7021,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.539,488.1,0.0,0.37,0.032
7022,0.1,62.0,20.0,16.0,0.0,0.0,0.0,6.0,16.0,7.0,10.0,0.0,0.0,12.0,0.0,2.0,0.0,0.258,0.361,0.258,-0.068,56.2,1.02,1.25,0.108
7023,0.1,366.0,39.0,106.0,20.0,0.0,7.0,56.0,3.0,1.0,38.0,4.0,2.0,84.0,10.0,2.0,5.0,0.29,0.358,0.402,-0.022,88.2,0.0451087594780439,0.0171344317436578,0.0020889676995421
7024,0.08,13.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.077,0.188,0.077,-0.153,-5.7,1.92,1.71,0.147
7025,0.07,45.0,12.0,9.0,0.0,0.0,1.0,8.0,0.0,0.0,9.0,2.0,0.0,17.0,1.0,0.0,2.0,0.2,0.345,0.267,-0.068,55.2,-0.19,0.24,0.021
